,Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter
188,Zeme,"Tiltiņi 15, Stīpnieki, Olaines pag., Olaines nov.",2025-09-04,540,540,540,,3 000,6,5.56,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2025.0,3.0
189,Zeme,"Īves iela 2, Dreiliņi, Stopiņu pag., Ropažu nov.",2025-09-04,628,1 255,628,,13 500,22,21.51,-,Privātmājām,,1/2,Pierīga,Pierīga,ropažu nov,2025.0,3.0
190,Zeme,"Ziedleju iela 1, Plieņciems, Engures pag., Tukuma nov.",2025-09-04,1 662,1 662,1 662,,27 000,16,16.25,-,Privātmājām,,1/1,Kurzeme,Kurzeme,tukuma nov,2025.0,3.0
191,Zeme,"Ganību iela 2, Carnikava, Carnikavas pag., Ādažu nov.",2025-09-04,1 203,1 203,1 203,,28 000,23,23.28,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2025.0,3.0
192,Zeme,"Ziedoņa iela 1, Jūrmala",2025-09-04,2 499,2 499,2 499,,16 264,7,6.51,-,Privātmājām,,1/1,Pierīga,Pierīga,jūrmala,2025.0,3.0
193,Zeme,"Brīzes iela 23, Rīga",2025-09-04,150,9 912,150,,4 500,30,29.96,-,Privātmājām,,63/4157,Rīga,Rīga,rīga,2025.0,3.0
194,Zeme,"Mujānu iela 20, Valmiera, Valmieras nov.",2025-09-04,1 120,1 120,1 120,,33 000,29,29.46,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valmieras nov,2025.0,3.0
195,Zeme,"Smilšu iela 19, Subate, Augšdaugavas nov.",2025-09-04,930,930,930,,7 800,8,8.39,-,Privātmājām,,1/1,Latgale,Latgale,augšdaugavas nov,2025.0,3.0
196,Zeme,"Niedru iela 3, Piņķi, Babītes pag., Mārupes nov.",2025-09-03,805,805,805,,59 000,73,73.29,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2025.0,3.0
197,Zeme,"Spulgas iela 2D, Rīga",2025-09-03,915,915,915,,55 000,60,60.11,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2025.0,3.0
198,Zeme,"4. Centra iela 58, Vārzas, Skultes pag., Limbažu nov.",2025-09-03,1 264,1 264,1 264,,21 900,17,17.33,-,Privātmājām,,1/1,Vidzeme,Vidzeme,limbažu nov,2025.0,3.0
199,Zeme,"4. Centra iela 60, Vārzas, Skultes pag., Limbažu nov.",2025-09-03,1 428,1 428,1 428,,21 900,15,15.34,-,Privātmājām,,1/1,Vidzeme,Vidzeme,limbažu nov,2025.0,3.0
