Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Zeme,"Kramiņu iela 6, Krogsils, Ķekavas pag., Ķekavas nov.",2025-10-07,2 008,2 008,2 008,,23 000,11,11.45,-,Privātmājām,,1/1,Pierīga,Pierīga,Ķekava,2025,4,10
Zeme,"Jasmīnu iela 11, Ābele, Pelču pag., Kuldīgas nov.",2025-10-06,599,599,599,,3 000,5,5.01,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,4,10
Zeme,"Kalkūnes pag., Augšdaugavas nov.",2025-10-06,882,882,882,,2 500,3,2.83,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Parks, Cimdenieki, Grobiņas pag., Dienvidkurzemes nov.",2025-10-06,8 800,8 800,8 800,,20 000,2,2.27,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Grobiņa,2025,4,10
Zeme,"Divpadsmitā iela 7, Šķēde, Medzes pag., Dienvidkurzemes nov.",2025-10-06,602,602,602,,5 000,8,8.31,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Valmieras pag., Valmieras nov.",2025-10-06,2 931,2 931,2 931,,10 000,3,3.41,-,Privātmājām,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,10
Zeme,"Gaujas iela 5B, Smiltene, Smiltenes nov.",2025-10-06,916,916,916,,7 000,8,7.64,-,Privātmājām,,1/1,Vidzeme,Vidzeme,Smiltene,2025,4,10
Zeme,"Ranka 58, Ogresgals, Ogresgala pag., Ogres nov.",2025-10-06,461,461,461,,2 600,6,5.64,-,Privātmājām,,1/1,Pierīga,Pierīga,Ogre,2025,4,10
Zeme,"Ābeļu iela 52, Amatnieki, Garkalnes pag., Ropažu nov.",2025-10-06,2 216,2 216,2 216,,103 000,46,46.48,-,Privātmājām,,1/1,Pierīga,Pierīga,Garkalne,2025,4,10
Zeme,"Rožu iela 14, Klapkalnciems, Engures pag., Tukuma nov.",2025-10-06,1 506,1 506,1 506,,8 000,5,5.31,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Leči 11, Leči, Vārves pag., Ventspils nov.",2025-10-03,628,628,628,,2 000,3,3.18,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Ventspils,2025,4,10
Zeme,"Tērauda iela 10, Ventspils",2025-10-03,2 177,2 177,2 177,,15 000,7,6.89,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Ventspils,2025,4,10
Zeme,"Krūkļu iela 21, Vīkuļi, Babītes pag., Mārupes nov.",2025-10-03,1 200,1 200,1 200,,30 000,25,25.0,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Klinšu iela 4, Bauska, Bauskas nov.",2025-10-03,1 695,1 695,1 695,,2 000,1,1.18,-,Privātmājām,,1/1,Zemgale,Zemgale,Bauska,2025,4,10
Zeme,"Straume 115, Viesturciems, Glūdas pag., Jelgavas nov.",2025-10-03,607,607,607,,2 000,3,3.29,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Engures pag., Tukuma nov.",2025-10-03,1 761,1 761,1 761,,2 900,2,1.65,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Lupīnu iela 13, Ogre, Ogres nov.",2025-10-03,796,796,796,,3 200,4,4.02,-,Privātmājām,,1/1,Pierīga,Pierīga,Ogre,2025,4,10
Zeme,"Kaupo iela 11, Sigulda, Siguldas nov.",2025-10-03,2 028,2 028,2 028,,80 000,39,39.45,-,Privātmājām,,1/1,Pierīga,Pierīga,Sigulda,2025,4,10
Zeme,"Vasariņu iela 4, Ķesterciems, Engures pag., Tukuma nov.",2025-10-03,3 029,3 029,3 029,,49 000,16,16.18,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Plakanciema Egles 10, Vaivadi, Olaines pag., Olaines nov.",2025-10-03,546,546,546,,10 000,18,18.32,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,4,10
Zeme,"Zīļu iela 6, Lapmežciems, Lapmežciema pag., Tukuma nov.",2025-10-03,1 240,1 240,1 240,,20 000,16,16.13,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Celtnieku iela 14, Ķekava, Ķekavas nov.",2025-10-03,1 705,1 705,1 705,,20 000,12,11.73,-,Privātmājām,,1/1,Pierīga,Pierīga,Ķekava,2025,4,10
Zeme,"Dumbrāja iela 21, Rīga",2025-10-03,323,2 289,323,,1 000,3,3.09,-,Privātmājām,,32316/228695,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Ņūtona iela 9, Gauja, Carnikavas pag., Ādažu nov.",2025-10-03,626,626,626,,16 500,26,26.36,-,Privātmājām,,1/1,Pierīga,Pierīga,Carnikava,2025,4,10
Zeme,"Ojāra Vācieša iela 4, Carnikava, Carnikavas pag., Ādažu nov.",2025-10-03,1 444,1 444,1 444,,58 000,40,40.17,-,Privātmājām,,1/1,Pierīga,Pierīga,Carnikava,2025,4,10
Zeme,"Ābeļu iela 8, Grobiņa, Dienvidkurzemes nov.",2025-10-03,1 411,1 411,1 411,,30 000,21,21.26,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Grobiņa,2025,4,10
Zeme,"Ušas iela 2, Mežāres, Babītes pag., Mārupes nov.",2025-10-02,600,1 200,600,,25 000,42,41.67,-,Privātmājām,,1/2,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Akmeņdziras 47, Akmeņdziras, Tārgales pag., Ventspils nov.",2025-10-02,1 192,1 192,1 192,,18 000,15,15.1,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Ventspils,2025,4,10
Zeme,"Mežvidi 59, Ogresgala pag., Ogres nov.",2025-10-02,610,610,610,,3 000,5,4.92,-,Privātmājām,,1/1,Pierīga,Pierīga,Ogre,2025,4,10
Zeme,"1. Ceriņu iela 15, Ječi, Dunikas pag., Dienvidkurzemes nov.",2025-10-02,1 087,1 087,1 087,,2 600,2,2.39,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Zemeņu iela 3, Mārupe, Mārupes nov.",2025-10-02,1 201,1 201,1 201,,30 250,25,25.19,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Raiņa iela 7, Grobiņa, Dienvidkurzemes nov.",2025-10-02,1 231,1 231,1 231,,12 700,10,10.32,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Grobiņa,2025,4,10
Zeme,"Villas, Pilāti, Valmieras pag., Valmieras nov.",2025-10-01,2 500,2 500,2 500,,29 500,12,11.8,-,Privātmājām,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,10
Zeme,"Dāliju iela 30, Kļavas, Inčukalna pag., Siguldas nov.",2025-10-01,594,594,594,,7 000,12,11.78,-,Privātmājām,,1/1,Pierīga,Pierīga,Sigulda,2025,4,10
Zeme,"Kaļķu iela 45A, Jēkabpils, Jēkabpils nov.",2025-10-01,550,550,550,,10 000,18,18.18,-,Privātmājām,,1/1,Zemgale,Zemgale,Jēkabpils,2025,4,10
Zeme,"Zemlejas iela 1, Pilāti, Valmieras pag., Valmieras nov.",2025-10-01,2 020,2 020,2 020,,30 000,15,14.85,-,Privātmājām,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,10
Zeme,"3/70, Bērziņi, Raiskuma pag., Cēsu nov.",2025-10-01,657,657,657,,13 500,21,20.55,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Ziemeļu iela 17, Jelgava",2025-10-01,1 352,1 352,1 352,,20 230,15,14.96,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Mazā Daugavas iela 17, Jaunjelgava, Aizkraukles nov.",2025-10-01,1 339,1 339,1 339,,18 700,14,13.97,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Ziemeļu iela 16, Jelgava",2025-10-01,1 159,1 159,1 159,,17 000,15,14.67,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Feimaņu pag., Rēzeknes nov.",2025-10-01,5 000,5 000,5 000,,1 500,0,0.3,-,Privātmājām,,1/1,Latgale,Latgale,Rēzekne,2025,4,10
Zeme,"Svīres iela 8, Sigulda, Siguldas nov.",2025-10-01,1 200,1 200,1 200,,51 000,43,42.5,-,Privātmājām,,1/1,Pierīga,Pierīga,Sigulda,2025,4,10
Zeme,"Ceriņu aleja 31, Kuldīga, Kuldīgas nov.",2025-10-01,632,632,632,,6 700,11,10.6,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,4,10
Zeme,"Cīrulīšu aleja 26, Kuldīga, Kuldīgas nov.",2025-10-01,591,591,591,,5 900,10,9.98,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,4,10
Zeme,"Amatnieku iela 29, Skrunda, Kuldīgas nov.",2025-10-01,1 741,1 741,1 741,,3 000,2,1.72,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,4,10
Zeme,"Beikas iela 6, Salaspils, Salaspils nov.",2025-10-01,1 229,1 229,1 229,,4 978,4,4.05,-,Privātmājām,,1/1,Pierīga,Pierīga,Salaspils,2025,4,10
Zeme,"Kurzemes iela 5B, Jūrmala",2025-10-01,1 239,1 239,1 239,,21 000,17,16.95,-,Privātmājām,,1/1,Pierīga,Pierīga,Jūrmala,2025,4,10
Zeme,"Andra iela 15, Vīkuļi, Babītes pag., Mārupes nov.",2025-10-01,1 367,1 367,1 367,,63 000,46,46.09,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Bērzu iela 1, Kuldīga, Kuldīgas nov.",2025-10-01,1 960,1 960,1 960,,13 400,7,6.84,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,4,10
Zeme,"Rietumdārzu iela 2, Atari, Ādažu pag., Ādažu nov.",2025-10-01,1 201,1 201,1 201,,20 000,17,16.65,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Lauku iela 1A, Kuldīga, Kuldīgas nov.",2025-10-01,1 061,1 061,1 061,,9 300,9,8.77,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,4,10
Zeme,"Akmeņdziras 102, Akmeņdziras, Tārgales pag., Ventspils nov.",2025-09-30,545,545,545,,2 000,4,3.67,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Ventspils,2025,3,9
Zeme,"Rīts Nr. 197, Medemciems, Olaines pag., Olaines nov.",2025-09-30,1 146,1 146,1 146,,7 188,6,6.27,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,3,9
Zeme,"Stūnīši 154, Stūnīši, Olaines pag., Olaines nov.",2025-09-30,600,600,600,,17 000,28,28.33,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,3,9
